|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_sent|f_text
289|,|,|,|PNCT|269|18|7|PNCT|||||||||||||||||||3.0|141
290|предметизации|предметизации|предметизации|UNKN|270|18|8|UNKN|||||||||||||||||||1.0|1
291|материал|материалов|материалов|NOUN|271|18|9|||||gent|plur|masc|inan||||||||||||1.0|2
292|online|online|online|ABVR|272|18|10|ABVR|||||||||||||||||||1.0|2
293|площадка|площадки|площадки|NOUN|273|18|11|ABVR||||gent|sing|femn|inan||||||||||||1.0|1
294|.|.|.|PNCT|274|18|12|PNCT|||||||||||||||||||1.0|103
295|контроль|контроля|контроля|NOUN|275|19|1|||||gent|sing|masc|inan||||||||||||1.0|2
296|и|и|и|CONJ|276|19|2|BADW|||||||||||||||||||2.0|44
297|фильтрация|фильтрации|фильтрации|NOUN|277|19|3|||||gent|sing|femn|inan||||||||||||1.0|1
298|по|по|по|NOUN|278|19|4|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||1.0|16
299|содержимое|содержимому|содержимому|NOUN|279|19|5|||||datv|sing|neut|inan||||||||||||1.0|1
300|с|с|с|NOUN|280|19|6|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
301|настройка|настройками|настройками|NOUN|281|19|7||||||plur|femn|inan||||||||||||1.0|1
302|реакция|реакции|реакции|NOUN|282|19|8|||||datv|sing|femn|inan||||||||||||1.0|1
303|система|системы|системы|NOUN|283|19|9|||||gent|sing|femn|inan||||||||||||2.0|2
304|,|,|,|PNCT|284|19|10|PNCT|||||||||||||||||||1.0|141
305|служба|службам|службам|NOUN|285|19|11|||||datv|plur|femn|inan||||||||||||1.0|1
306|и|и|и|CONJ|286|19|12|BADW|||||||||||||||||||2.0|44
307|система|системам|системам|NOUN|287|19|13|||||datv|plur|femn|inan||||||||||||2.0|2
308|безопасность|безопасности|безопасности|NOUN|288|19|14|||||datv|sing|femn|inan||||||||||||1.0|1
309|в|в|в|NOUN|289|19|15|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
310|замкнутый|замкнутых|замкнутых|PRTF|290|19|16|||||gent|plur|||past|tran||perf|||pssv|||||1.0|1
311|контур|контурах|контурах|NOUN|291|19|17||||||plur|masc|inan||||||||||||1.0|1
312|или|или|или|CONJ|292|19|18|BADW|||||||||||||||||||1.0|9
313|online|online|online|LATN|293|19|19|LATN|||||||||||||||||||1.0|2
314|.|.|.|PNCT|294|19|20|PNCT|||||||||||||||||||1.0|103
315|многослойный|многослойной|многослойной|ADJF|295|20|1|||||gent|sing|femn|||||||||||||1.0|1
316|разметка|разметки|разметки|NOUN|296|20|2|||||gent|sing|femn|inan||||||||||||1.0|1
317|текст|текстов|текстов|NOUN|297|20|3|||||gent|plur|masc|inan||||||||||||1.0|30
318|ии|ии|ИИ|NOUN|298|20|4|UPPR||||gent|sing|masc|inan|||||||||Fixd|Abbr||1.0|1
319|.|.|.|PNCT|299|20|5|PNCT|||||||||||||||||||1.0|103
320|качество|качество|Качество|NOUN|300|21|1|||||nomn|sing|neut|inan||||||||||||1.0|13
321|.|.|.|PNCT|301|21|2|PNCT|||||||||||||||||||1.0|103
322|чтобы|чтобы|Чтобы|CONJ|302|22|1|BADW|||||||||||||||||||1.0|1
323|не|не|не|PRCL|303|22|2||||||||||||||||||||3.0|28
324|тянуть|тянуть|тянуть|INFN|304|22|3||||||||||||impf||||||||1.0|1
325|через|через|через|PREP|305|22|4|BADW|||||||||||||||||||1.0|2
326|весь|всю|всю|ADJF|306|22|5|||||accs|sing|femn|||||||||||Apro||1.0|3
327|статья|статью|статью|NOUN|307|22|6|||||accs|sing|femn|inan||||||||||||1.0|13
328|тот|тех|тех|ADJF|308|22|7|BADW||||gent|plur||||||||||||Apro|Anph|1.0|5
329|,|,|,|PNCT|309|22|8|PNCT|||||||||||||||||||3.0|141
330|кто|кто|кто|NPRO|310|22|9|BADW||||nomn|sing|masc|||||||||||||2.0|2
331|верю|верит|верит|VERB|311|22|10||||||sing|||pres|intr||impf|3per|||indc||||1.0|1
332|только|только|только|ADVB|312|22|11|BADW|||||||||||||||||||1.0|1
333|цифра|цифрам|цифрам|NOUN|313|22|12|||||datv|plur|femn|inan||||||||||||1.0|1
334|,|,|,|PNCT|314|22|13|PNCT|||||||||||||||||||3.0|141
335|а|а|а|NOUN|315|22|14|||||datv|sing|ms-f|anim|||||||||Fixd|Name|Init|1.0|5
336|не|не|не|PRCL|316|22|15||||||||||||||||||||3.0|28
337|слово|словам|словам|NOUN|317|22|16|||||datv|plur|neut|inan||||||||||||1.0|32
338|и|и|и|CONJ|318|22|17|BADW|||||||||||||||||||2.0|44
339|тем|тем|тем|CONJ|319|22|18|BADW|||||||||||||||||||1.0|2
340|,|,|,|PNCT|320|22|19|PNCT|||||||||||||||||||3.0|141
341|кто|кто|кто|NPRO|321|22|20|BADW||||nomn|sing|masc|||||||||||||2.0|2
342|ожидаю|ожидает|ожидает|VERB|322|22|21||||||sing|||pres|tran||impf|3per|||indc||||1.0|1
343|стопроцентный|стопроцентного|стопроцентного|ADJF|323|22|22|||||gent|sing|neut|||||||||||||1.0|1
344|качество|качества|качества|NOUN|324|22|23|||||gent|sing|neut|inan||||||||||||1.0|13
345|и|и|и|CONJ|325|22|24|BADW|||||||||||||||||||2.0|44
346|другой|другого|другого|ADJF|326|22|25|||||gent|sing|neut|||||||||||Subx||1.0|1
347|не|не|не|PRCL|327|22|26||||||||||||||||||||3.0|28
348|приемлет|приемлет|приемлет|UNKN|328|22|27|UNKN|||||||||||||||||||1.0|1
349|.|.|.|PNCT|329|22|28|PNCT|||||||||||||||||||1.0|103
350|качество|качество|Качество|NOUN|330|23|1|||||nomn|sing|neut|inan||||||||||||1.0|13
351|выборка|выборки|выборки|NOUN|331|23|2|||||nomn|plur|femn|inan||||||||||||1.0|2
352|нахожусь|находится|находится|VERB|332|23|3||||||sing|||pres|intr||impf|3per|||indc||||1.0|2
353|95-100%|в интервале 95-100%|в интервале 95-100%|NUSR|333|23|4|NUSR|3.0||||||||||||||||||2.0|2
354|в|в|в|NOUN|333|23|4|BADW||3.0||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
355|интервал|интервале|интервале|NOUN|334|23|5|||3.0|||sing|masc|inan||||||||||||1.0|2
356|95-100%|95-100%|95-100%|NUSR|335|23|6|NUSR||3.0|||||||||||||||||2.0|2
357|при|при|при|PREP|336|23|7|BADW|||||||||||||||||||1.0|3
358|тестирование|тестировании|тестировании|NOUN|337|23|8||||||sing|neut|inan|||||||||Sgtm|||1.0|8
359|на|на|на|INTJ|338|23|9|BADW|||||||||||||||||||1.0|17
360|статья|статьях|статьях|NOUN|339|23|10||||||plur|femn|inan||||||||||||1.0|13
361|,|,|,|PNCT|340|23|11|PNCT|||||||||||||||||||1.0|141
362|размер|размером|размером|NOUN|341|23|12||||||sing|masc|inan||||||||||||1.0|1
363|не|не|не|PRCL|342|23|13||||||||||||||||||||1.0|28
364|превышающий|превышающих|превышающих|PRTF|343|23|14|||||gent|plur|||pres|tran||impf|||actv|||||1.0|1
365|3500 слов|3500 слов|3500 слов|NUSR|344|23|15|NUSR|4.0||||||||||||||||||1.0|1
366|3500|3500|3500|NUMB|344|23|15|NUMB||4.0|||||||||||||||||1.0|1
367|слово|слов|слов|NOUN|345|23|16|||4.0||gent|plur|neut|inan||||||||||||1.0|32
368|.|.|.|PNCT|346|23|17|PNCT|||||||||||||||||||1.0|103
369|разброс|разброс|Разброс|NOUN|347|24|1|||||nomn|sing|masc|inan||||||||||||1.0|1
370|связан|связан|связан|PRTS|348|24|2||||||sing|masc||past|||perf|||pssv|||||1.0|2
371|с|с|с|NOUN|349|24|3|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
372|качество|качеством|качеством|NOUN|350|24|4||||||sing|neut|inan||||||||||||1.0|13
373|и|и|и|CONJ|351|24|5|BADW|||||||||||||||||||1.0|44
374|сложность|сложностью|сложностью|NOUN|352|24|6||||||sing|femn|inan||||||||||||1.0|1
375|изложение|изложения|изложения|NOUN|353|24|7|||||gent|sing|neut|inan||||||||||||1.0|1
376|.|.|.|PNCT|354|24|8|PNCT|||||||||||||||||||1.0|103
377|вот|вот|Вот|PRCL|355|25|1|BADW|||||||||||||||||||2.0|3
378|пример|пример|пример|NOUN|356|25|2|||||nomn|sing|masc|inan||||||||||||1.0|2
379|один|одной|одной|ADJF|357|25|3|||||gent|sing|femn|||||||||||Anum||1.0|3
380|из|из|из|PREP|358|25|4|BADW|||||||||||||||||||1.0|14
381|статья|статей|статей|NOUN|359|25|5|||||gent|plur|femn|inan||||||||||||1.0|13
382|,|,|,|PNCT|360|25|6|PNCT|||||||||||||||||||2.0|141
383|участвовавший|участвовавших|участвовавших|PRTF|361|25|7|||||gent|plur|||past|intr||impf|||actv|||||1.0|1
384|в|в|в|NOUN|362|25|8|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
386|тестирование результата|тестирование результат|тестировании результат|2GRM|363|25|9|nPNC|69.0||||||||||||||||||1.0|3
385|тестирование|тестировании|тестировании|NOUN|363|25|9||||||sing|neut|inan|||||||||Sgtm|||1.0|8
387|,|,|,|PNCT|364|25|10|PNCT|||||||||||||||||||2.0|141
388|а|а|а|NOUN|365|25|11|||||gent|sing|ms-f|anim|||||||||Fixd|Name|Init|1.0|5
389|вот|вот|вот|PRCL|366|25|12|BADW|||||||||||||||||||2.0|3
390|результат|результат|результат|NOUN|367|25|13|||||nomn|sing|masc|inan||||||||||||1.0|9
391|она|её|её|NPRO|368|25|14|BADW||||gent|sing|femn||||||3per||||||Anph|1.0|1
392|автоматический|автоматического|автоматического|ADJF|369|25|15|||||gent|sing|masc|||||||||||||1.0|3
393|анализ|анализа|анализа|NOUN|370|25|16|||||gent|sing|masc|inan||||||||||||1.0|8
394|.|.|.|PNCT|371|25|17|PNCT|||||||||||||||||||1.0|103
395|из|из|Из|PREP|372|26|1|BADW|||||||||||||||||||1.0|14
396|полученный|полученного|полученного|PRTF|373|26|2|||||gent|sing|masc||past|tran||perf|||pssv|||||1.0|3
397|интервал|интервала|интервала|NOUN|374|26|3|||||gent|sing|masc|inan||||||||||||1.0|2
398|качество|качества|качества|NOUN|375|26|4|||||gent|sing|neut|inan||||||||||||2.0|13
399|необходим|необходимо|необходимо|ADJS|376|26|5||||||sing|neut|||||||||||Qual||1.0|1
400|убрать|убрать|убрать|INFN|377|26|6||||||||||||perf||||||||1.0|1
401|порядок|порядка|порядка|NOUN|378|26|7|||||gen1|sing|masc|inan||||||||||||1.0|1
402|7-10%|7-10%|7-10%|NUSR|379|26|8|NUSR|||||||||||||||||||1.0|1
403|,|,|,|PNCT|380|26|9|PNCT|||||||||||||||||||2.0|141
404|т.е|т.е|т.е|PRCL|381|26|10|BADW|||||||||||||||||||1.0|1
405|фактический|фактический|фактический|ADJF|382|26|11|||||accs|sing|masc|inan||||||||||||1.0|1
406|уровень|уровень|уровень|NOUN|383|26|12|||||accs|sing|masc|inan||||||||||||1.0|1
407|качество|качества|качества|NOUN|384|26|13|||||gent|sing|neut|inan||||||||||||2.0|13
408|,|,|,|PNCT|385|26|14|PNCT|||||||||||||||||||2.0|141
409|скорее|скорее|скорее|COMP|386|26|15|BADW|||||||||||||||||||1.0|1
410|есть|будет|будет|VERB|387|26|16|BADW|||||sing|||futr|intr||impf|3per|||indc||||1.0|8
411|85-93%|85-93%|85-93%|NUSR|388|26|17|NUSR|||||||||||||||||||1.0|1
412|.|.|.|PNCT|389|26|18|PNCT|||||||||||||||||||1.0|103
413|это|это|Это|PRCL|390|27|1|BADW|||||||||||||||||||1.0|7
414|связан|связано|связано|PRTS|391|27|2||||||sing|neut||past|||perf|||pssv|||||1.0|2
415|с|с|с|NOUN|392|27|3|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
416|тем|тем|тем|CONJ|393|27|4|BADW|||||||||||||||||||1.0|2
417|,|,|,|PNCT|394|27|5|PNCT|||||||||||||||||||1.0|141
418|что|что|что|ADVB|395|27|6|BADW|||||||||||||||||||1.0|9
419|.|.|.|PNCT|396|27|7|PNCT|||||||||||||||||||1.0|103
420|в|в|в|NOUN|397|28|1|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
421|процесс|процессе|процессе|NOUN|398|28|2||||||sing|masc|inan||||||||||||1.0|2
422|тестирование|тестирования|тестирования|NOUN|399|28|3|||||gent|sing|neut|inan|||||||||Sgtm|||1.0|8
423|меняюсь|меняются|меняются|VERB|400|28|4||||||plur|||pres|intr||impf|3per|||indc||||1.0|1
424|требование|требования|требования|NOUN|401|28|5|||||gent|sing|neut|inan||||||||||||1.0|3
425|к|к|к|NOUN|402|28|6|BADW||||nomn|sing|masc|anim|||||||||Fixd|Abbr||1.0|16
426|выбираемый|выбираемым|выбираемым|PRTF|403|28|7||||||sing|neut||pres|tran||impf|||pssv|||||1.0|1
427|данный|данным|данным|PRTF|404|28|8||||||sing|neut||past|tran||perf|||pssv|||||1.0|7
428|,|,|,|PNCT|405|28|9|PNCT|||||||||||||||||||2.0|141
429|который|которых|которых|ADJF|406|28|10|BADW||||gent|plur||||||||||||Subx|Anph|1.0|9
430|я|я|я|NOUN|407|28|11|BADW||||nomn|sing|ms-f|anim|||||||||Fixd|Name|Init|1.0|4
431|ранее|ранее|ранее|ADVB|408|28|12|BADW|||||||||||||||||||1.0|1
432|не|не|не|PRCL|409|28|13||||||||||||||||||||2.0|28
433|замечаю|замечал|замечал|VERB|410|28|14||||||sing|masc||past|tran||impf||||indc||||2.0|2
434|и|и|и|CONJ|411|28|15|BADW|||||||||||||||||||2.0|44
435|полагаю|полагаю|полагаю|VERB|412|28|16||||||sing|||pres|tran||impf|1per|||indc||||1.0|2
436|,|,|,|PNCT|413|28|17|PNCT|||||||||||||||||||2.0|141
437|что|что|что|ADVB|414|28|18|BADW|||||||||||||||||||1.0|9
438|далеко|далеко|далеко|ADVB|415|28|19|BADW|||||||||||||||||||1.0|1
439|не|не|не|PRCL|416|28|20||||||||||||||||||||2.0|28
440|всё|всё|всё|PRCL|417|28|21|BADW|||||||||||||||||||1.0|2
441|замечаю|замечаю|замечаю|VERB|418|28|22||||||sing|||pres|tran||impf|1per|||indc||||2.0|2
442|и|и|и|CONJ|419|28|23|BADW|||||||||||||||||||2.0|44
443|сейчас|сейчас|сейчас|ADVB|420|28|24|BADW|||||||||||||||||||1.0|3
444|.|.|.|PNCT|421|28|25|PNCT|||||||||||||||||||1.0|103
445|при|при|при|PREP|422|29|1|BADW|||||||||||||||||||1.0|3
446|ручной|ручной|ручной|ADJF|423|29|2|||||accs|sing|masc|inan||||||||||||1.0|6
447|сверка|сверке|сверке|NOUN|424|29|3|||||datv|sing|femn|inan||||||||||||1.0|2
448|присутствую|присутствует|присутствует|VERB|425|29|4||||||sing|||pres|intr||impf|3per|||indc||||1.0|1
449|мой|мое|мое|ADJF|426|29|5|BADW|||1.0|nomn|sing|neut|||||||||||Apro||1.0|1
450|субъективный|субъективное|субъективное|ADJF|427|29|6|||||accs|sing|neut|||||||||||Qual||1.0|1
451|мнение|мнение|мнение|NOUN|428|29|7|||||accs|sing|neut|inan||||||||||||2.0|3
452|,|,|,|PNCT|429|29|8|PNCT|||||||||||||||||||3.0|141
453|что|что|что|ADVB|430|29|9|BADW|||||||||||||||||||2.0|9
454|именно|именно|именно|PRCL|431|29|10|BADW|||||||||||||||||||1.0|1
455|в|в|в|NOUN|432|29|11|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
456|статья|статье|статье|NOUN|433|29|12|||||datv|sing|femn|inan||||||||||||2.0|13
457|можно|можно|можно|PRED|434|29|13|BADW|||||||||||||||||||1.0|6
458|признать|признать|признать|INFN|435|29|14||||||||||||perf||||||||1.0|1
459|ключ|ключом|ключом|NOUN|436|29|15||||||sing|masc|inan||||||||||||3.0|11
460|,|,|,|PNCT|437|29|16|PNCT|||||||||||||||||||3.0|141
461|а|а|а|NOUN|438|29|17|||||datv|sing|ms-f|anim|||||||||Fixd|Name|Init|1.0|5
462|что|что|что|ADVB|439|29|18|BADW|||||||||||||||||||2.0|9
463|нет|нет|нет|INTJ|440|29|19||||||||||||||||||||1.0|1
464|,|,|,|PNCT|441|29|20|PNCT|||||||||||||||||||3.0|141
465|и|и|и|CONJ|442|29|21|BADW|||||||||||||||||||1.0|44
466|оно|оно|оно|NPRO|443|29|22|BADW||||nomn|sing|neut||||||3per||||||Anph|1.0|1
467|с|с|с|NOUN|444|29|23|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||2.0|25
468|большой|большой|большой|ADJF|445|29|24|||||gent|sing|femn|||||||||||Qual||1.0|2
469|доля|долей|долей|NOUN|446|29|25|||||gent|plur|femn|inan||||||||||||1.0|2
470|вероятность|вероятности|вероятности|NOUN|447|29|26|||||gent|sing|femn|inan||||||||||||1.0|1
471|не|не|не|PRCL|448|29|27||||||||||||||||||||1.0|28
472|совпадаю|совпадает|совпадает|VERB|449|29|28||||||sing|||pres|intr||impf|3per|||indc||||1.0|1
473|ключ|ключ|ключ|NOUN|450|29|29|||||nomn|sing|masc|inan||||||||||||3.0|11
474|к|к|к|NOUN|451|29|30|BADW||||nomn|sing|masc|anim|||||||||Fixd|Abbr||1.0|16
475|ключ|ключу|ключу|NOUN|452|29|31|||||datv|sing|masc|inan||||||||||||3.0|11
476|с|с|с|NOUN|453|29|32|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||2.0|25
477|мнение|мнением|мнением|NOUN|454|29|33||||||sing|neut|inan||||||||||||2.0|3
478|автор|авторов|авторов|NOUN|455|29|34|||||gent|plur|masc|anim||||||||||||1.0|5
479|статья|статей|статей|NOUN|456|29|35|||||gent|plur|femn|inan||||||||||||2.0|13
480|.|.|.|PNCT|457|29|36|PNCT|||||||||||||||||||1.0|103
481|с|с|С|NOUN|458|30|1|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
482|полный|полным|полным|ADJF|459|30|2||||||sing|masc|||||||||||Qual||1.0|1
483|список|списком|списком|NOUN|460|30|3||||||sing|masc|inan||||||||||||1.0|14
484|статья|статей|статей|NOUN|461|30|4|||||gent|plur|femn|inan||||||||||||1.0|13
485|,|,|,|PNCT|462|30|5|PNCT|||||||||||||||||||2.0|141
486|на|на|на|INTJ|463|30|6|BADW|||||||||||||||||||2.0|17
487|который|которых|которых|ADJF|464|30|7|BADW||||gent|plur||||||||||||Subx|Anph|1.0|9
488|иду|шло|шло|VERB|465|30|8||||||sing|neut||past|intr||impf||||indc||||1.0|1
489|тестирование|тестирование|тестирование|NOUN|466|30|9|||||nomn|sing|neut|inan|||||||||Sgtm|||1.0|8
490|,|,|,|PNCT|467|30|10|PNCT|||||||||||||||||||2.0|141
491|и|и|и|CONJ|468|30|11|BADW|||||||||||||||||||1.0|44
492|развернутый|развернутой|развернутой|PRTF|469|30|12||||1.0|gent|sing|femn||past|tran||perf|||pssv||||Adjx|1.0|1
493|статистика|статистикой|статистикой|NOUN|470|30|13||||||sing|femn|inan||||||||||||1.0|2
494|результат|результатов|результатов|NOUN|471|30|14|||||gent|plur|masc|inan||||||||||||1.0|9
495|можно|можно|можно|PRED|472|30|15|BADW|||||||||||||||||||1.0|6
496|ознакомиться|ознакомиться|ознакомиться|INFN|473|30|16||||||||||||perf||||||||1.0|1
497|на|на|на|INTJ|474|30|17|BADW|||||||||||||||||||2.0|17
498|github|github|GitHub|LATN|475|30|18|LATN|||||||||||||||||||1.0|4
499|.|.|.|PNCT|476|30|19|PNCT|||||||||||||||||||1.0|103
500|что|что|Что|ADVB|477|31|1|BADW|||||||||||||||||||1.0|9
501|конкретно|конкретно|конкретно|ADVB|478|31|2|BADW|||||||||||||||||||1.0|1
502|повлиял|повлияло|повлияло|VERB|479|31|3||||||sing|neut||past|intr||perf||||indc||||1.0|1
503|на|на|на|INTJ|480|31|4|BADW|||||||||||||||||||2.0|17
504|качество|качество|качество|NOUN|481|31|5|||||nomn|sing|neut|inan||||||||||||1.0|13
505|результат|результата|результата|NOUN|482|31|6|||||gent|sing|masc|inan||||||||||||1.0|9
506|в|в|в|NOUN|483|31|7|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||2.0|48
507|каждый|каждой|каждой|ADJF|484|31|8|||||gent|sing|femn|||||||||||Apro||1.0|3
508|статья|статье|статье|NOUN|485|31|9|||||datv|sing|femn|inan||||||||||||1.0|13
509|,|,|,|PNCT|486|31|10|PNCT|||||||||||||||||||1.0|141
510|можно|можно|можно|PRED|487|31|11|BADW|||||||||||||||||||1.0|6
511|посмотреть|посмотреть|посмотреть|INFN|488|31|12||||||||||||perf||||||||1.0|1
512|в|в|в|NOUN|489|31|13|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||2.0|48
513|файл|файле|файле|NOUN|490|31|14||||||sing|masc|inan||||||||||||1.0|5
514|reasons|reasons|Reasons|LATN|491|31|15|LATN|||||||||||||||||||1.0|1
515|на|на|на|INTJ|492|31|16|BADW|||||||||||||||||||2.0|17
516|github|github|GitHub|LATN|493|31|17|LATN|||||||||||||||||||1.0|4
517|.|.|.|PNCT|494|31|18|PNCT|||||||||||||||||||1.0|103
518|как|как|Как|ADVB|495|32|1|BADW|||||||||||||||||||1.0|4
519|читать|читать|читать|INFN|496|32|2||||||||||||impf||||||||1.0|2
520|результат|результаты|результаты|NOUN|497|32|3|||||nomn|plur|masc|inan||||||||||||1.0|9
521|.|.|.|PNCT|498|32|4|PNCT|||||||||||||||||||1.0|103
522|в|в|В|NOUN|499|33|1|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||2.0|48
523|каждый|каждой|каждой|ADJF|500|33|2|||||gent|sing|femn|||||||||||Apro||1.0|3
524|папка|папке|папке|NOUN|501|33|3|||||datv|sing|femn|inan||||||||||||1.0|1
525|для|для|для|GRND|502|33|4|BADW||||||||pres|tran||impf||||||||1.0|13
526|конкретный|конкретной|конкретной|ADJF|503|33|5|||||gent|sing|femn|||||||||||Qual||1.0|1
527|анализируемый|анализируемой|анализируемой|PRTF|504|33|6|||||gent|sing|femn||pres|tran||impf|||pssv|||||1.0|1
528|статья|статьи|статьи|NOUN|505|33|7|||||gent|sing|femn|inan||||||||||||1.0|13
529|лежу|лежит|лежит|VERB|506|33|8||||||sing|||pres|intr||impf|3per|||indc||||1.0|1
530|5 файлов|5 файлов|5 файлов|NUSR|507|33|9|NUSR|5.0||||||||||||||||||1.0|1
531|5|5|5|NUMB|507|33|9|NUMB||5.0|||||||||||||||||1.0|2
532|файл|файлов|файлов|NOUN|508|33|10|||5.0||gent|plur|masc|inan||||||||||||1.0|5
533|с|с|с|NOUN|509|33|11|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
535|набор данных|набор данные|набором данных|2GRM|510|33|12|nPNC|56.0||||||||||||||||||1.0|3
534|набор|набором|набором|NOUN|510|33|12||||||sing|masc|inan||||||||||||1.0|4
536|данные|данных|данных|NOUN|511|33|13|||||gent|plur||inan|||||||||Pltm|||1.0|8
537|в|в|в|NOUN|512|33|14|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||2.0|48
538|юникоде|юникоде|юникоде|UNKN|513|33|15|UNKN|||||||||||||||||||1.0|2
539|.|.|.|PNCT|514|33|16|PNCT|||||||||||||||||||1.0|103
540|words.csv|words.csv|words.csv|LATN|515|34|1|LATN|||||||||||||||||||1.0|1
541|,|,|,|PNCT|516|34|2|PNCT|||||||||||||||||||2.0|141
542|список|список|список|NOUN|517|34|3|||||nomn|sing|masc|inan||||||||||||2.0|14
543|релевантный|релевантных|релевантных|ADJF|518|34|4|||||gent|plur||||||||||||Qual||1.0|1
545|список слов|слово список|слов список|2GRM|519|34|5|nPNC|43.0||||||||||||||||||1.0|6
544|слово|слов|слов|NOUN|519|34|5|||||gent|plur|neut|inan||||||||||||1.0|32
546|,|,|,|PNCT|520|34|6|PNCT|||||||||||||||||||2.0|141
547|включая|включая|включая|GRND|521|34|7|BADW||||||||pres|tran||impf||||||||1.0|1
548|список|список|список|NOUN|522|34|8|||||nomn|sing|masc|inan||||||||||||2.0|14
549|неидентифицированный|неидентифицированных|неидентифицированных|PRTF|523|34|9|||||gent|plur|||past|tran||perf|||pssv|||||1.0|2
550|.|.|.|PNCT|524|34|10|PNCT|||||||||||||||||||1.0|103
551|keys.csv|keys.csv|keys.csv|LATN|525|35|1|LATN|||||||||||||||||||1.0|1
552|,|,|,|PNCT|526|35|2|PNCT|||||||||||||||||||5.0|141
554|ключевой список|список ключевой|список ключевых|2GRM|527|35|3|nPNC|63.0||||||||||||||||||1.0|4
553|список|список|список|NOUN|527|35|3|||||nomn|sing|masc|inan||||||||||||1.0|14
556|ключевое слово|ключевой слово|ключевых слов|2GRM|528|35|4|nPNC|48.0||||||||||||||||||1.0|4
555|ключевой|ключевых|ключевых|ADJF|528|35|4|||||gent|plur||||||||||||||1.0|12
557|слово|слов|слов|NOUN|529|35|5|||||gent|plur|neut|inan||||||||||||2.0|32
558|,|,|,|PNCT|530|35|6|PNCT|||||||||||||||||||5.0|141
559|сейчас|сейчас|сейчас|ADVB|531|35|7|BADW|||||||||||||||||||1.0|3
560|содержу|содержит|содержит|VERB|532|35|8||||||sing|||pres|tran||impf|3per|||indc||||1.0|3
561|,|,|,|PNCT|533|35|9|PNCT|||||||||||||||||||5.0|141
562|кроме|кроме|кроме|PREP|534|35|10|BADW|||||||||||||||||||1.0|2
563|маркированный|маркированных|маркированных|PRTF|535|35|11|||||gent|plur|||past|tran||impf|||pssv|||||1.0|2
565|выражение слов|выражение слово|выражений слова|2GRM|536|35|12|nPNC|72.0||||||||||||||||||1.0|3
564|выражение|выражений|выражений|NOUN|536|35|12|||||gent|plur|neut|inan||||||||||||1.0|17
566|ещё|ещё|ещё|ADVB|537|35|13|BADW|||||||||||||||||||1.0|2
567|и|и|и|CONJ|538|35|14|BADW|||||||||||||||||||1.0|44
568|слово|слова|слова|NOUN|539|35|15|||||gent|sing|neut|inan||||||||||||2.0|32
569|,|,|,|PNCT|540|35|16|PNCT|||||||||||||||||||5.0|141
570|который|которые|которые|ADJF|541|35|17|BADW||||nomn|plur||||||||||||Subx|Anph|1.0|9
571|повторяюсь|повторяются|повторяются|VERB|542|35|18||||||plur|||pres|intr||impf|3per|||indc||||1.0|1
572|по|по|по|NOUN|543|35|19|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||1.0|16
573|текст|тексту|тексту|NOUN|544|35|20|||||datv|sing|masc|inan||||||||||||1.0|30
574|не|не|не|PRCL|545|35|21||||||||||||||||||||2.0|28
575|менее|менее|менее|ADVB|546|35|22|BADW|||||||||||||||||||2.0|4
576|заданный|заданного|заданного|PRTF|547|35|23|||||gent|sing|masc||past|tran||perf|||pssv|||||1.0|1
577|число|числа|числа|NOUN|548|35|24|||||gent|sing|neut|inan||||||||||||1.0|11
578|раз|раз|раз|ADVB|549|35|25|BADW|||||||||||||||||||2.0|4
579|,|,|,|PNCT|550|35|26|PNCT|||||||||||||||||||5.0|141
580|в|в|в|NOUN|551|35|27|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
581|данный|данном|данном|PRTF|552|35|28||||||sing|masc||past|tran||perf|||pssv|||||1.0|7
582|случай|случае|случае|NOUN|553|35|29||||||sing|masc|inan||||||||||||1.0|2
583|не|не|не|PRCL|554|35|30||||||||||||||||||||2.0|28
584|менее|менее|менее|ADVB|555|35|31|BADW|||||||||||||||||||2.0|4
