|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|pw|f_text|f_sent
593|над|надо|надо|PREP|541.0|33.0|6.0|BADW||||||||||||||||||Vpre||8|1.0
594|надо|надо|надо|PRED|541.0|33.0|6.0|||||||||||||||||||||7|1.0
595|пихать|пихать|пихать|INFN|542.0|33.0|7.0||||||||||||impf|||||||||1|1.0
596|туда|туда|туда|ADVB|543.0|33.0|8.0|BADW||||||||||||||||||||4|1.0
597|16 человек|16 человек|16 человек|NUSR|544.0|33.0|9.0|NUSR|27.0|||||||||||||||||||1|1.0
598|16|16|16|NUMB|544.0|33.0|9.0|NUMB||27.0||||||||||||||||||1|1.0
599|человек|человек|человек|NOUN|545.0|33.0|10.0|||27.0||gent|plur|masc|anim|||||||||||||2|1.0
600|.|.|.|PNCT|546.0|33.0|11.0|PNCT||||||||||||||||||||157|1.0
601|это|это|Это|PRCL|547.0|34.0|1.0|BADW||||||||||||||||||||55|2.0
602|же|же|же|CONJ|548.0|34.0|2.0|BADW||||||||||||||||||||11|1.0
603|уж|уже|уже|NOUN|549.0|34.0|3.0|BADW|||||sing|masc|anim|||||||||||||7|1.0
604|явен|явно|явно|ADJS|550.0|34.0|4.0|BADW|||||sing|neut|||||||||||Qual|||2|1.0
605|не|не|не|PRCL|551.0|34.0|5.0|||||||||||||||||||||40|1.0
606|бтр|бтр|БТР|NOUN|552.0|34.0|6.0|SPEC||||nomn|sing|masc|inan||||||||||Abbr|||5|1.0
607|,|,|,|PNCT|553.0|34.0|7.0|PNCT||||||||||||||||||||232|1.0
608|конечен|конечно|конечно|ADJS|554.0|34.0|8.0|BADW|||||sing|neut|||||||||||Qual|||4|1.0
609|т-15|т-15|Т-15|DSNU|555.0|34.0|9.0|DSNU||||||||||||||||||||2|1.0
610|крут|круто|круто|ADJS|556.0|34.0|10.0|BADW|||||sing|neut|||||||||||Qual|||1|1.0
611|везу|везёт|везёт|VERB|557.0|34.0|11.0||||||sing|||pres|tran||impf|3per|||indc|||||1|1.0
612|2 отряда|2 отряда|2 отряда|NUSR|558.0|34.0|12.0|NUSR|28.0|||||||||||||||||||1|1.0
613|2|2|2|NUMB|558.0|34.0|12.0|NUMB||28.0||||||||||||||||||14|1.0
614|отряд|отряда|отряда|NOUN|559.0|34.0|13.0|||28.0||gent|sing|masc|inan|||||||||||||3|1.0
615|это|это|это|PRCL|560.0|34.0|14.0|BADW||||||||||||||||||||55|2.0
616|экономия|экономия|экономия|NOUN|561.0|34.0|15.0|||||nomn|sing|femn|inan|||||||||||||1|1.0
617|деньга|денег|денег|NOUN|562.0|34.0|16.0|||||gent|plur|femn|inan|||||||||||||1|1.0
618|и|и|и|CONJ|563.0|34.0|17.0|BADW||||||||||||||||||||104|1.0
619|броня|брони|брони|NOUN|564.0|34.0|18.0|SPEC||||gent|sing|femn|inan|||||||||||||27|1.0
620|там|там|там|ADVB|565.0|34.0|19.0|BADW||||||||||||||||||||17|1.0
621|за|за|за|PREP|566.0|34.0|20.0|BADW||||||||||||||||||||5|1.0
622|счёт|счёт|счёт|NOUN|567.0|34.0|21.0|||||nomn|sing|masc|inan|||||||||||||1|1.0
623|большой|большой|большой|ADJF|568.0|34.0|22.0|||||gent|sing|femn|||||||||||Qual|||3|1.0
624|масса|массы|массы|NOUN|569.0|34.0|23.0|||||gent|sing|femn|inan|||||||||||||12|1.0
625|ого-го|ого-го|огого-го|INTJ|570.0|34.0|24.0|BADW||||||||||||||||||||1|1.0
626|.|.|.|PNCT|571.0|34.0|25.0|PNCT||||||||||||||||||||157|1.0
627|колея|колея|Колея|NOUN|572.0|35.0|1.0|||||nomn|sing|femn|inan|||||||||||||2|1.0
628|у|у|у|INTJ|573.0|35.0|2.0|BADW||||||||||||||||||||19|2.0
629|она|неё|неё|NPRO|574.0|35.0|3.0|BADW||||gent|sing|femn||||||3per||||||Af-p||3|1.0
630|3,4 метра|3,4 метра|3,4 метра|NUSR|575.0|35.0|4.0|NUSR|29.0|||||||||||||||||||1|1.0
631|3,4|3,4|3,4|NUSR|575.0|35.0|4.0|NUSR||29.0||||||||||||||||||2|2.0
632|метр|метра|метра|NOUN|576.0|35.0|5.0|||29.0||gent|sing|masc|inan|||||||||||||15|2.0
633|,|,|,|PNCT|577.0|35.0|6.0|PNCT||||||||||||||||||||232|3.0
634|так|так|так|ADVB|578.0|35.0|7.0|BADW||||||||||||||||||||9|1.0
635|стоп|стоп|стоп|INTJ|579.0|35.0|8.0|BADW||||||||||||||||||||1|1.0
636|,|,|,|PNCT|580.0|35.0|9.0|PNCT||||||||||||||||||||232|3.0
637|там|там|там|ADVB|581.0|35.0|10.0|BADW||||||||||||||||||||17|1.0
638|явен|явно|явно|ADJS|582.0|35.0|11.0|BADW|||||sing|neut|||||||||||Qual|||2|1.0
639|3,4 и|3,4 и|3,4 и|NUSR|583.0|35.0|12.0|NUSR|30.0|||||||||||||||||||1|1.0
640|3,4|3,4|3,4|NUSR|583.0|35.0|12.0|NUSR||30.0||||||||||||||||||2|2.0
641|и|и|и|CONJ|584.0|35.0|13.0|BADW||30.0||||||||||||||||||104|1.0
642|т-14|т-14|Т-14|DSNU|585.0|35.0|14.0|DSNU||||||||||||||||||||3|1.0
643|тоже|тоже|тоже|PRCL|586.0|35.0|15.0|BADW||||||||||||||||||||5|1.0
645|полная ширина|полный ширина|полной шириной|2GRM|587.0|35.0|16.0|nPNC|170.0|||||||||||||||||||3|1.0
644|полный|полной|полной|ADJF|587.0|35.0|16.0|||||gent|sing|femn|||||||||||Qual|||9|1.0
647|метр ширины|ширина метр|шириной метра|2GRM|588.0|35.0|17.0|nPNC|167.0|||||||||||||||||||4|1.0
646|ширина|шириной|шириной|NOUN|588.0|35.0|17.0||||||sing|femn|inan|||||||||Sgtm||||10|1.0
648|под|под|под|NOUN|589.0|35.0|18.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||17|1.0
649|4 метра|4 метра|4 метра|NUSR|590.0|35.0|19.0|NUSR|31.0|||||||||||||||||||2|1.0
650|4|4|4|NUMB|590.0|35.0|19.0|NUMB||31.0||||||||||||||||||4|1.0
651|метр|метра|метра|NOUN|591.0|35.0|20.0|||31.0||gent|sing|masc|inan|||||||||||||15|2.0
652|у|у|у|INTJ|592.0|35.0|21.0|BADW||||||||||||||||||||19|2.0
653|мы|нас|нас|NPRO|593.0|35.0|22.0|BADW||||gent|plur|||||||1per||||||||7|1.0
654|тут|тут|тут|ADVB|594.0|35.0|23.0|BADW||||||||||||||||||||10|1.0
655|2+1,3+броня|2+1,3+броня|2+1,3+броня|NUSR|595.0|35.0|24.0|NUSR||||||||||||||||||||1|1.0
656|,|,|,|PNCT|596.0|35.0|25.0|PNCT||||||||||||||||||||232|3.0
657|значит|значит|значит|CONJ|597.0|35.0|26.0|BADW||||||||||||||||||||4|1.0
658|можно|можно|можно|PRED|598.0|35.0|27.0|BADW||||||||||||||||||||24|1.0
659|.|.|.|PNCT|599.0|35.0|28.0|PNCT||||||||||||||||||||157|1.0
660|тем|тем|Тем|CONJ|600.0|36.0|1.0|BADW||||||||||||||||||||3|1.0
661|более|более|более|ADVB|601.0|36.0|2.0|BADW||||||||||||||||||||5|1.0
662|в|в|в|NOUN|602.0|36.0|3.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|2.0
663|бой|бою|бою|NOUN|603.0|36.0|4.0|||||datv|sing|masc|anim|||||||||||||2|1.0
664|машина|машины|машины|NOUN|604.0|36.0|5.0|SPEC||||gent|sing|femn|inan|||||||||||||5|1.0
665|хожу|ходят|ходят|VERB|605.0|36.0|6.0||||||plur|||pres|intr||impf|3per|||indc|||||2|1.0
666|1 и|по 1 и|по 1 и|NUSR|606.0|36.0|7.0|NUSR|32.0|||||||||||||||||||1|1.0
667|по|по|по|NOUN|606.0|36.0|7.0|BADW||32.0||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
668|1|1|1|NUMB|607.0|36.0|8.0|NUMB||32.0||||||||||||||||||3|1.0
669|и|и|и|CONJ|608.0|36.0|9.0|BADW||32.0||||||||||||||||||104|1.0
670|уж|уж|уж|ADVB|609.0|36.0|10.0|BADW||||||||||||||||||||7|1.0
671|что|что|что|ADVB|610.0|36.0|11.0|BADW||||||||||||||||||||25|1.0
672|а|а|а|CONJ|611.0|36.0|12.0|BADW||||||||||||||||||||36|1.0
673|фальшборт|фальшборт|фальшборт|NOUN|612.0|36.0|13.0|||||nomn|sing|masc|inan|||||||||||||8|1.0
674|можно|можно|можно|PRED|613.0|36.0|14.0|BADW||||||||||||||||||||24|1.0
675|прост|просто|просто|ADJS|614.0|36.0|15.0|BADW|||||sing|neut|||||||||||Qual|||6|1.0
676|откинуть|откинуть|откинуть|INFN|615.0|36.0|16.0||||||||||||perf|||||||||3|1.0
677|крайне|крайне|крайне|ADVB|616.0|36.0|17.0|BADW||||||||||||||||||||2|1.0
678|быстр|быстро|быстро|ADJS|617.0|36.0|18.0|BADW|||||sing|neut|||||||||||Qual|||1|1.0
679|в|в|в|NOUN|618.0|36.0|19.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|2.0
680|боевой|боевое|боевое|ADJF|619.0|36.0|20.0|||||nomn|sing|neut||||||||||||||1|1.0
681|положение|положение|положение|NOUN|620.0|36.0|21.0|||||nomn|sing|neut|inan|||||||||||||1|1.0
682|,|,|,|PNCT|621.0|36.0|22.0|PNCT||||||||||||||||||||232|2.0
683|дверь|дверь|дверь|NOUN|622.0|36.0|23.0|||||nomn|sing|femn|inan|||||||||||||1|1.0
684|как|как|как|ADVB|623.0|36.0|24.0|BADW||||||||||||||||||||21|1.0
685|поворачиваюсь|поворачивается|поворачивается|VERB|624.0|36.0|25.0||||||sing|||pres|intr||impf|3per|||indc|||||1|1.0
686|дом|дома|дома|NOUN|625.0|36.0|26.0|BADW||||gen1|sing|masc|inan|||||||||||||1|1.0
687|,|,|,|PNCT|626.0|36.0|27.0|PNCT||||||||||||||||||||232|2.0
688|таки|таки|таки|PRCL|627.0|36.0|28.0|BADW||||||||||||||||||||1|1.0
689|на|на|на|INTJ|628.0|36.0|29.0|BADW||||||||||||||||||||65|1.0
690|петля|петлях|петлях|NOUN|629.0|36.0|30.0||||||plur|femn|inan|||||||||||||1|1.0
691|.|.|.|PNCT|630.0|36.0|31.0|PNCT||||||||||||||||||||157|1.0
692|вес|вес|Вес|NOUN|631.0|37.0|1.0|||||nomn|sing|masc|inan|||||||||||||2|1.0
693|ходовой|ходовой|ходовой|ADJF|632.0|37.0|2.0|||||gent|sing|femn||||||||||||||17|1.0
694|танк|танка|танка|NOUN|633.0|37.0|3.0|SPEC||||gent|sing|masc|inan|||||||||||||21|2.0
695|8,8 тонн|8,8 тонн|8,8 тонн|NUSR|634.0|37.0|4.0|NUSR|33.0|||||||||||||||||||1|1.0
696|8,8|8,8|8,8|NUSR|634.0|37.0|4.0|NUSR||33.0||||||||||||||||||1|1.0
697|тонна|тонн|тонн|NOUN|635.0|37.0|5.0|||33.0||gent|plur|femn|inan|||||||||||||18|2.0
698|,|,|,|PNCT|636.0|37.0|6.0|PNCT||||||||||||||||||||232|4.0
699|из|из|из|PREP|637.0|37.0|7.0|BADW||||||||||||||||||||8|1.0
700|они|них|них|NPRO|638.0|37.0|8.0|BADW||||gent|plur|||||||3per||||||Af-p||8|1.0
701|0,6 это|0,6 это|0,6 это|NUSR|639.0|37.0|9.0|NUSR|34.0|||||||||||||||||||1|1.0
702|0,6|0,6|0,6|NUSR|639.0|37.0|9.0|NUSR||34.0||||||||||||||||||1|1.0
703|это|это|это|PRCL|640.0|37.0|10.0|BADW||34.0||||||||||||||||||55|3.0
704|обрезинивание|обрезинивание|обрезинивание|NOUN|641.0|37.0|11.0|||||nomn|sing|neut|inan|||||||||Sgtm||||1|1.0
705|гусеница|гусеницы|гусеницы|NOUN|642.0|37.0|12.0|SPEC||||gent|sing|femn|inan|||||||||||||5|2.0
706|и|и|и|CONJ|643.0|37.0|13.0|BADW||||||||||||||||||||104|1.0
707|тонна|тонна|тонна|NOUN|644.0|37.0|14.0|||||nomn|sing|femn|inan|||||||||||||18|2.0
708|сам|сама|сама|ADJF|645.0|37.0|15.0|BADW||||nomn|sing|femn|||||||||||Apro|||2|1.0
709|гусеница|гусеница|гусеница|NOUN|646.0|37.0|16.0|SPEC||||nomn|sing|femn|inan|||||||||||||5|2.0
710|,|,|,|PNCT|647.0|37.0|17.0|PNCT||||||||||||||||||||232|4.0
711|а|а|а|CONJ|648.0|37.0|18.0|BADW||||||||||||||||||||36|1.0
712|у|у|у|INTJ|649.0|37.0|19.0|BADW||||||||||||||||||||19|2.0
713|мы|нас|нас|NPRO|650.0|37.0|20.0|BADW||||gent|plur|||||||1per||||||||7|2.0
714|это|этого|этого|NPRO|651.0|37.0|21.0|BADW||||gent|sing|neut||||||||||||||55|3.0
715|нет|нет|нет|INTJ|652.0|37.0|22.0|||||||||||||||||||||4|1.0
716|,|,|,|PNCT|653.0|37.0|23.0|PNCT||||||||||||||||||||232|4.0
717|каток|катки|катки|NOUN|654.0|37.0|24.0|||||nomn|plur|masc|inan|||||||||||||16|2.0
718|это|это|это|PRCL|655.0|37.0|25.0|BADW||||||||||||||||||||55|3.0
719|0,15*12|0,15*12|0,15*12|NUSR|656.0|37.0|26.0|NUSR||||||||||||||||||||1|1.0
720|но|но|но|CONJ|657.0|37.0|27.0|BADW||||||||||||||||||||13|1.0
721|у|у|у|INTJ|658.0|37.0|28.0|BADW||||||||||||||||||||19|2.0
722|мы|нас|нас|NPRO|659.0|37.0|29.0|BADW||||gent|plur|||||||1per||||||||7|2.0
723|каток|каток|каток|NOUN|660.0|37.0|30.0|||||nomn|sing|masc|inan|||||||||||||16|2.0
724|половинчатый|половинчатый|половинчатый|ADJF|661.0|37.0|31.0|||||nomn|sing|masc|||||||||||Qual|||1|1.0
725|то|то|то|CONJ|662.0|37.0|32.0|BADW||||||||||||||||||||19|1.0
726|есть|есть|есть|INFN|663.0|37.0|33.0|BADW|||||||||||impf|||||||||35|1.0
727|немного|немного|немного|ADVB|664.0|37.0|34.0|BADW||||||||||||||||||||1|1.0
728|тяжелее|тяжелее|тяжелее|COMP|665.0|37.0|35.0|||||||||||||||||||||1|1.0
729|обычный|обычного|обычного|ADJF|666.0|37.0|36.0|||||gent|sing|masc|||||||||||Qual|||1|1.0
730|танковый|танкового|танкового|ADJF|667.0|37.0|37.0|||||gent|sing|masc||||||||||||||2|1.0
731|,|,|,|PNCT|668.0|37.0|38.0|PNCT||||||||||||||||||||232|4.0
732|однако|однако|однако|CONJ|669.0|37.0|39.0|BADW||||||||||||||||||||5|1.0
733|в|во|во|PREP|670.0|37.0|40.0|BADW||||||||||||||||||Vpre||87|1.0
734|избежание|избежание|избежание|NOUN|671.0|37.0|41.0|||||accs|sing|neut|inan|||||||||||||2|1.0
735|спор|споров|споров|NOUN|672.0|37.0|42.0|||||gent|plur|masc|inan|||||||||||||1|1.0
736|взял|возьмём|возьмём|VERB|673.0|37.0|43.0||||||sing||||tran||perf||incl||impr|||||1|1.0
737|масса|массу|массу|NOUN|674.0|37.0|44.0|||||accs|sing|femn|inan|||||||||||||12|1.0
738|от|от|от|PREP|675.0|37.0|45.0|BADW||||||||||||||||||||19|1.0
739|танк|танка|танка|NOUN|676.0|37.0|46.0|SPEC||||gent|sing|masc|inan|||||||||||||21|2.0
740|полный|полную|полную|ADJF|677.0|37.0|47.0|||||accs|sing|femn|||||||||||Qual|||9|1.0
741|20%|20%|20%|NUSR|678.0|37.0|48.0|NUSR||||||||||||||||||||1|1.0
742|.|.|.|PNCT|679.0|37.0|49.0|PNCT||||||||||||||||||||157|1.0
743|есть|есть|Есть|INFN|680.0|38.0|1.0|BADW|||||||||||impf|||||||||35|1.0
744|сложный|сложная|сложная|ADJF|681.0|38.0|2.0|||||nomn|sing|femn|||||||||||Qual|||1|1.0
745|проблема|проблема|проблема|NOUN|682.0|38.0|3.0|||||nomn|sing|femn|inan|||||||||||||1|1.0
746|,|,|,|PNCT|683.0|38.0|4.0|PNCT||||||||||||||||||||232|1.0
747|куда|куда|куда|ADVB|684.0|38.0|5.0|BADW||||||||||||||||||||4|1.0
748|деть|деть|деть|INFN|685.0|38.0|6.0||||||||||||perf|||||||||1|1.0
749|то|то|то|CONJ|686.0|38.0|7.0|BADW||||||||||||||||||||19|1.0
750|подвеска|подвеску|подвеску|NOUN|687.0|38.0|8.0|||||accs|sing|femn|inan|||||||||||||2|1.0
751|.|.|.|PNCT|688.0|38.0|9.0|PNCT||||||||||||||||||||157|1.0
752|это|это|Это|PRCL|689.0|39.0|1.0|BADW||||||||||||||||||||55|1.0
753|в|в|в|NOUN|690.0|39.0|2.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|1.0
754|гусеничный|гусеничной|гусеничной|ADJF|691.0|39.0|3.0|||||gent|sing|femn|||||||||||Qual|||1|1.0
755|торсионный|торсионных|торсионы|ADJF|692.0|39.0|4.0|||||gent|plur|||||||||||||||3|1.0
756|на|на|на|INTJ|693.0|39.0|5.0|BADW||||||||||||||||||||65|1.0
757|дно|дне|дне|NOUN|694.0|39.0|6.0||||||sing|neut|inan|||||||||||||5|1.0
758|и|и|и|CONJ|695.0|39.0|7.0|BADW||||||||||||||||||||104|1.0
759|прочее|прочее|прочее|NPRO|696.0|39.0|8.0|BADW||||nomn|sing|neut||||||||||||||5|1.0
760|снаружи|снаружи|снаружи|ADVB|697.0|39.0|9.0|BADW||||||||||||||||||||1|1.0
761|,|,|,|PNCT|698.0|39.0|10.0|PNCT||||||||||||||||||||232|1.0
762|тут|тут|тут|ADVB|699.0|39.0|11.0|BADW||||||||||||||||||||10|1.0
763|вот|вот|вот|PRCL|700.0|39.0|12.0|BADW||||||||||||||||||||8|1.0
764|так|так|так|ADVB|701.0|39.0|13.0|BADW||||||||||||||||||||9|1.0
765|.|.|.|PNCT|702.0|39.0|14.0|PNCT||||||||||||||||||||157|1.0
766|глава|глава|Глава|NOUN|703.0|40.0|1.0|||||nomn|sing|ms-f|anim|||||||||||||3|1.0
767|2|2|2|NUMB|704.0|40.0|2.0|NUMB||||||||||||||||||||14|1.0
768|.|.|.|PNCT|705.0|40.0|3.0|PNCT||||||||||||||||||||157|1.0
769|броневанна|броневанна|Броневанна|NOUN|706.0|41.0|1.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
770|.|.|.|PNCT|707.0|41.0|2.0|PNCT||||||||||||||||||||157|1.0
771|имею|имеем|Имеем|VERB|708.0|42.0|1.0||||||plur|||pres|tran||impf|1per|||indc|||||3|2.0
772|39,8 тонн|39,8 тонн|39,8 тонн|NUSR|709.0|42.0|2.0|NUSR|35.0|||||||||||||||||||1|1.0
773|39,8|39,8|39,8|NUSR|709.0|42.0|2.0|NUSR||35.0||||||||||||||||||1|1.0
775|тонна ходовая|тонна ходовой|тонн ходовой|2GRM|710.0|42.0|3.0|nPNC|175.0|||||||||||||||||||6|2.0
774|тонна|тонн|тонн|NOUN|710.0|42.0|3.0|||35.0||gent|plur|femn|inan|||||||||||||18|2.0
776|на|на|на|INTJ|711.0|42.0|4.0|BADW||||||||||||||||||||65|2.0
777|весь|всё|всё|ADJF|712.0|42.0|5.0|BADW||||nomn|sing|neut|||||||||||Apro|||24|1.0
778|кроме|кроме|кроме|PREP|713.0|42.0|6.0|BADW||||||||||||||||||||3|1.0
779|ходовой|ходовой|ходовой|ADJF|714.0|42.0|7.0|||||gent|sing|femn||||||||||||||17|1.0
780|,|,|,|PNCT|715.0|42.0|8.0|PNCT||||||||||||||||||||232|4.0
781|мто|мто|МТО|NOUN|716.0|42.0|9.0|SPEC|||||sing||anim||||||||||Name|||9|1.0
782|3,2т|3,2т|3,2т|NUSR|717.0|42.0|10.0|NUSR||||||||||||||||||||1|1.0
783|,|,|,|PNCT|718.0|42.0|11.0|PNCT||||||||||||||||||||232|4.0
784|топливо|топливо|топливо|NOUN|719.0|42.0|12.0|SPEC||||nomn|sing|neut|inan|||||||||||||1|1.0
785|1т|1т|1т|NUSR|720.0|42.0|13.0|NUSR||||||||||||||||||||1|1.0
786|,|,|,|PNCT|721.0|42.0|14.0|PNCT||||||||||||||||||||232|4.0
787|пока|пока|пока|ADVB|722.0|42.0|15.0|BADW||||||||||||||||||||3|1.0
788|36,6т|36,6т|36,6т|NUSR|723.0|42.0|16.0|NUSR||||||||||||||||||||1|1.0
789|,|,|,|PNCT|724.0|42.0|17.0|PNCT||||||||||||||||||||232|4.0
790|на|на|на|INTJ|725.0|42.0|18.0|BADW||||||||||||||||||||65|2.0
791|объём|объём|объём|NOUN|726.0|42.0|19.0|||||nomn|sing|masc|inan|||||||||||||3|1.0
792|который|который|который|ADJF|727.0|42.0|20.0|BADW||||nomn|sing|masc|||||||||||Subx|Anph||5|1.0
793|ранее|ранее|ранее|ADVB|728.0|42.0|21.0|BADW||||||||||||||||||||2|1.0
794|имею|имел|имел|VERB|729.0|42.0|22.0||||||sing|masc||past|tran||impf||||indc|||||3|2.0
796|броня массы|броня масса|брони массе|2GRM|730.0|42.0|23.0|nPNC|156.0|||||||||||||||||||3|2.0
795|броня|брони|брони|NOUN|730.0|42.0|23.0|SPEC||||gent|sing|femn|inan|||||||||||||27|2.0
797|40мм|по 40мм|по 40мм|NUSR|731.0|42.0|24.0|NUSR|36.0|||||||||||||||||||4|2.0
798|по|по|по|NOUN|731.0|42.0|24.0|BADW||36.0||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
799|40мм|40мм|40мм|NUSR|732.0|42.0|25.0|NUSR||36.0||||||||||||||||||4|2.0
800|при|при|при|PREP|733.0|42.0|26.0|BADW||||||||||||||||||||13|1.0
802|броня массы|масса броня|массе брони|2GRM|734.0|42.0|27.0|nPNC|157.0|||||||||||||||||||3|2.0
801|масса|массе|массе|NOUN|734.0|42.0|27.0|||||datv|sing|femn|inan|||||||||||||12|1.0
803|броня|брони|брони|NOUN|735.0|42.0|28.0|SPEC||||gent|sing|femn|inan|||||||||||||27|2.0
804|что|что|что|ADVB|736.0|42.0|29.0|BADW||||||||||||||||||||25|1.0
805|то|то|то|CONJ|737.0|42.0|30.0|BADW||||||||||||||||||||19|1.0
806|11 тонн|11 тонн|11 тонн|NUSR|738.0|42.0|31.0|NUSR|37.0|||||||||||||||||||3|1.0
807|11|11|11|NUMB|738.0|42.0|31.0|NUMB||37.0||||||||||||||||||4|1.0
809|тонна ходовая|тонна ходовой|тонн ходовая|2GRM|739.0|42.0|32.0|nPNC|176.0|||||||||||||||||||6|2.0
808|тонна|тонн|тонн|NOUN|739.0|42.0|32.0|||37.0||gent|plur|femn|inan|||||||||||||18|2.0
810|.|.|.|PNCT|740.0|42.0|33.0|PNCT||||||||||||||||||||157|1.0
811|значит|значит|Значит|CONJ|741.0|43.0|1.0|BADW||||||||||||||||||||4|1.0
813|тонна ходовая|ходовой тонна|ходовая тонн|2GRM|742.0|43.0|2.0|nPNC|177.0|||||||||||||||||||6|1.0
812|ходовой|ходовая|ходовая|ADJF|742.0|43.0|2.0|||||nomn|sing|femn||||||||||||||17|1.0
814|менее|менее|менее|ADVB|743.0|43.0|3.0|BADW||||||||||||||||||||4|1.0
815|2 тонн|2 тонн|2 тонн|NUSR|744.0|43.0|4.0|NUSR|38.0|||||||||||||||||||1|1.0
816|2|2|2|NUMB|744.0|43.0|4.0|NUMB||38.0||||||||||||||||||14|1.0
817|тонна|тонн|тонн|NOUN|745.0|43.0|5.0|||38.0||gent|plur|femn|inan|||||||||||||18|1.0
818|на|на|на|INTJ|746.0|43.0|6.0|BADW||||||||||||||||||||65|2.0
819|колесо|колесо|колесо|NOUN|747.0|43.0|7.0|||||nomn|sing|neut|inan|||||||||||||11|2.0
820|есть|есть|есть|INFN|748.0|43.0|8.0|BADW|||||||||||impf|||||||||35|1.0
821|,|,|,|PNCT|749.0|43.0|9.0|PNCT||||||||||||||||||||232|3.0
822|7 осей|7 осей|7 осей|NUSR|750.0|43.0|10.0|NUSR|39.0|||||||||||||||||||2|1.0
823|7|7|7|NUMB|750.0|43.0|10.0|NUMB||39.0||||||||||||||||||6|1.0
824|ось|осей|осей|NOUN|751.0|43.0|11.0|||39.0||gent|plur|femn|inan|||||||||||||4|1.0
825|4 колеса|по 4 колеса|по 4 колеса|NUSR|752.0|43.0|12.0|NUSR|40.0|||||||||||||||||||1|1.0
826|по|по|по|NOUN|752.0|43.0|12.0|BADW||40.0||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
827|4|4|4|NUMB|753.0|43.0|13.0|NUMB||40.0||||||||||||||||||4|1.0
828|колесо|колеса|колеса|NOUN|754.0|43.0|14.0|||40.0||gent|sing|neut|inan|||||||||||||11|2.0
829|на|на|на|INTJ|755.0|43.0|15.0|BADW||||||||||||||||||||65|2.0
830|каждый|каждое|каждое|ADJF|756.0|43.0|16.0|||||nomn|sing|neut|||||||||||Apro|||5|1.0
831|,|,|,|PNCT|757.0|43.0|17.0|PNCT||||||||||||||||||||232|3.0
832|габарит|габариты|габариты|NOUN|758.0|43.0|18.0|||||nomn|plur|masc|inan|||||||||||||4|1.0
833|каток|катков|катков|NOUN|759.0|43.0|19.0|||||gent|plur|masc|inan|||||||||||||16|3.0
834|и|и|и|CONJ|760.0|43.0|20.0|BADW||||||||||||||||||||104|1.0
835|между|между|между|PREP|761.0|43.0|21.0|BADW||||||||||||||||||||4|1.0
836|каток|катками|катками|NOUN|762.0|43.0|22.0||||||plur|masc|inan|||||||||||||16|3.0
837|даже|даже|даже|PRCL|763.0|43.0|23.0|BADW||||||||||||||||||||6|1.0
838|шире|шире|шире|NOUN|764.0|43.0|24.0|||||gent|plur|femn|inan|||||||||Fixd|Geox|||3|1.0
839|чем|чем|чем|CONJ|765.0|43.0|25.0|BADW||||||||||||||||||||11|1.0
840|можно|можно|можно|PRED|766.0|43.0|26.0|BADW||||||||||||||||||||24|1.0
841|,|,|,|PNCT|767.0|43.0|27.0|PNCT||||||||||||||||||||232|3.0
842|собствен|собственно|собственно|ADJS|768.0|43.0|28.0|BADW|||||sing|neut||||||||||||||1|1.0
844|шина катка|шина каток|шины катков|2GRM|769.0|43.0|29.0|nPNC|172.0|||||||||||||||||||4|1.0
843|шина|шины|шины|NOUN|769.0|43.0|29.0|||||gent|sing|femn|inan|||||||||||||16|1.0
845|поверх|поверх|поверх|ADVB|770.0|43.0|30.0|BADW||||||||||||||||||||2|1.0
846|каток|катков|катков|NOUN|771.0|43.0|31.0|||||gent|plur|masc|inan|||||||||||||16|3.0
847|аналогичен|аналогично|аналогично|ADJS|772.0|43.0|32.0|BADW|||||sing|neut||||||||||||||2|1.0
848|.|.|.|PNCT|773.0|43.0|33.0|PNCT||||||||||||||||||||157|1.0
849|если|если|Если|CONJ|774.0|44.0|1.0|BADW||||||||||||||||||||10|1.0
850|скачать|скачать|скачать|INFN|775.0|44.0|2.0||||||||||||perf|||||||||1|1.0
851|вот|вот|вот|PRCL|776.0|44.0|3.0|BADW||||||||||||||||||||8|1.0
852|этот|этот|этот|ADJF|777.0|44.0|4.0|BADW||||nomn|sing|masc|||||||||||Apro|Anph||2|1.0
853|талмуд|талмуд|талмуд|NOUN|778.0|44.0|5.0|||||nomn|sing|masc|inan|||||||||||||1|1.0
854|,|,|,|PNCT|779.0|44.0|6.0|PNCT||||||||||||||||||||232|3.0
855|общее устройство|общее устройство|Общее Устройство|NAME|780.0|44.0|7.0|NAME|41.0|||||||||||||||||||1|1.0
856|общий|общее|Общее|ADJF|780.0|44.0|7.0|TITL||41.0||nomn|sing|neut||||||||||||||2|1.0
